,bike_id,bus_id,bus_name,경도,위도
228,[2108 2112 2116 2169 2171 2179 3311 3812 3816],21105,KT관악지점,126.947311,37.481963
229,[2108 2145 2169 2179 2189 2190 2196 3812],21106,봉천역.관악초등학교,126.943335,37.482367
230,[2109 2137 2164 2169 2189 2190 2195 2196 3807],21107,KT&G관악지점,126.937313,37.484475
231,[2109 2135 2136 2137 2164 2175 2195 3807],21261,관악우체국(양지병원),126.933157,37.484848
232,[2102 2135 2136 2164 2173 2174 2175 2195 3807],21149,패션문화의거리입구,126.929553,37.486005
233,[2173 2174 2175],21150,보라매공원.보라매병원,126.927498,37.490517
234,[4169],21263,보라매삼성아파트.모자원고개,126.927398,37.494514
235,[2015 2016 4169],20187,신대방삼거리,126.928229,37.498143
236,[2015 2016 4169],20148,성대시장,126.931597,37.500119
237,[2013 2020 2096 4152],20149,상도초등학교입구,126.936766,37.503306
238,[2013 2020 2096 4152],20193,청화병원,126.94008,37.507245
239,[2050 2054 2058 2070],20191,동작구청.노량진초등학교앞,126.940337,37.510453
240,[2050 2054 2058 2070],20114,노량진역,126.941757,37.513391
241,[2003 2050 2054 2058 2070],20011,노량진역,126.943811,37.513733
242,[2002 2003 2054 2077],20013,노들역,126.949256,37.512825
243,[ 869  870 4605],3341,노들섬,126.959038,37.517364
244,[ 822  829 4619 4629 4633],3001,한강대교북단.LG유플러스,126.963192,37.52409
245,[ 816  841  853 4629 4633],3003,신용산역,126.966207,37.527293
246,[813 816 817 841],3005,KT용산지사,126.970235,37.531497
247,[ 805  812  813  817  847  848  849 4620 4625],3007,삼각지역,126.974012,37.53527
248,[ 818  819  828  835  838 4625],3009,숙대입구역,126.972538,37.543296
249,[442 807 820 866],3011,갈월동,126.972237,37.550976
250,[ 379  435  442  484  485  807  826 4760 4794  444],2007,서울역버스환승센터.강우규의거터,126.972971,37.555614
251,[ 379  435  441  445  484  485 4760 4772  444],2122,숭례문,126.974044,37.55842
252,[ 324  370  445  467  468  469  470  471 4776  312],2219,남대문시장앞.이회영활동터,126.97858,37.560939
253,"[ 320  321  322  324  433  466  467  468  469  470  471 4762 4774 4775
 4776 4796]",2142,롯데영프라자,126.982008,37.562885
254,"[ 316  318  320  321  322  329  331  332  368  385  433  454  466  468
 3013 3408 4762 4774 4775 4778 4785 4796  311]",2139,우리은행종로지점,126.982929,37.567519
255,"[ 316  318  320  327  328  329  331  368  385  454  472 3013 3408 3432
 4708 4762 4775 4785]",1013,종로2가,126.985543,37.570139
256,"[ 327  328  329  331  332  334  335  398  454  472 3013 3410 3411 3412
 3432 4707 4785]",1015,종로3가.탑골공원,126.989565,37.570245
257,[ 334  335  338  339  389  397  398 3410 3411 3412 3413 4707],1017,종로4가.종묘,126.994722,37.570507
258,[ 338  339  345  389  397  452  453 3404 3411 3412 3413 3414],1019,종로5가.광장시장,126.99885,37.570757
259,[ 339  344  345  387  452  453  455  457 3404 3414],1021,종로6가.동대문종합시장,127.003464,37.570962
260,[ 346  361  393 3401 3415 3416  378],1023,동대문역.흥인지문,127.013451,37.572302
261,[ 361  362  363  431  456  613 3401 3416 4798  378],1041,동묘앞,127.018451,37.573726
262,[ 362  363  456  605  613  671  672 1351],6107,신설동역1번출구,127.023317,37.57663
263,[ 363  671  672 1351 1363],8184,보문동주민센터,127.022486,37.579835
264,[ 672 1351 1352 1362 1363],8182,보문동성당,127.021116,37.582399
265,[1338 1352 1355 1362 1363],8180,보문역,127.019989,37.584489
266,[1305 1336 1337 1338 1355 1362 1368 1384 1385],8178,성북구청.성북경찰서,127.01723,37.588605
267,[1303 1305 1336 1337 1355 1368 1384 1385 1388],8176,삼선동주민센터,127.014715,37.590692
268,[1305 1336 1337 1368 1384 1385 1386],8008,돈암사거리.성신여대입구,127.017839,37.593306
269,[1353 1386 1392 1393],8006,미아리고개.미아리예술극장,127.021821,37.597921
270,[1318 1347 1348 1353 1367 1394],8004,길음뉴타운,127.023686,37.603182
271,[1318 1348 1369],8002,월곡뉴타운,127.027405,37.605978
272,[1339 1369 1531 1546 1574 3714],9012,미아사거리역,127.030213,37.612894
273,[1515 1546 1560 1574 3703],9010,도봉세무서.성북시장,127.029248,37.618837
274,[1501 1525 1527 1560],9008,미아역.신일중고,127.027135,37.62411
275,[1525 1527 1529],9006,수유시장.성신여대미아캠퍼스앞,127.024572,37.630531
276,[1503 1513 1514 1520 1526 1535 1552 1565 1569],9004,수유역.강북구청,127.025232,37.637489
277,[1503 1512 1513 1514 1526 1552 1569 3707],9002,수유3동우체국,127.028665,37.640674
278,[1741 1754 4054],10018,우이1교앞,127.03242,37.644652
279,[1709 1741 1754 1765 1774 4054],10016,쌍문역,127.03446,37.648071
280,[1707 1708 1709 1736 1751 1762 1772 1774],10014,도봉구민회관.도봉문화원,127.037977,37.653968
281,[1707 1708 1726 1762 1772],10012,도봉보건소.북한산아이파크아파트,127.040517,37.658205
282,[1706 1733 1744 1746 4062],10196,방학사거리,127.040581,37.662935
283,[1733 1767],10194,신한은행방학동지점,127.036807,37.662933
284,[1726 1761 1767 1768],10192,국민은행방학지점,127.034113,37.662595
285,[1723 1734 1761 1767 1768 4075],10190,방학동신동아아파트,127.03202,37.662362
286,[1723 1761 1767 1768 1771 4075 4078],10187,방학동신동아타워,127.028692,37.662028
287,[1723 1768 4075],10185,연산군정의공주묘,127.023145,37.662002
288,[1703 1730 1731 1750 4058],10340,도봉산역광역환승센터,127.044352,37.689948
289,[1703 1730 1731 1750 4058],10001,도봉산역,127.045431,37.689195
290,[1729 1730 1731 1770],10003,도봉한신아파트,127.045946,37.684052
291,[1727 1728 1735 1759],10005,서울북부지방법원.검찰청.도봉역성황당,127.044921,37.677775
292,[1705 1719 1748],10007,신도봉사거리,127.044147,37.673289
293,[1705 1706 1719 1720 1732 1746 1748 1749],10019,신도봉시장.도봉구청.방학북부역,127.043577,37.669999
294,[1705 1706 1732 1733 1744 1746 1748 1749 4062],10009,도봉소방서.방학남부역,127.042981,37.666333
295,[1708 1726 1733 1762 1772 4062],10011,도봉보건소,127.040762,37.658936
296,[1707 1708 1736 1751 1762 1772 1774],10013,도봉구민회관.도봉문화원,127.038174,37.65456
297,[1709 1736 1741 1754 1765 1774 4054],10015,쌍문역,127.034769,37.648817
298,[1741 1754 4054],10017,우이1교앞,127.032652,37.645293
299,[1503 1512 1513 1514 1526 1552 1569],9001,수유3동우체국,127.029043,37.641242
300,[1503 1513 1514 1520 1526 1535 1552 1565 1569 3707],9013,수유(강북구청)역,127.0261,37.638477
301,[1503 1513 1514 1520 1535 1552 1565 1569],9003,수유역,127.024117,37.636659
302,[1527 1529 1565],9005,수유시장.성신여대미아캠퍼스앞,127.024172,37.631226
303,[1501 1525 1527],9007,미아역.신일중고,127.026649,37.62487
304,[1515 1546 1560 1574 3703],9009,도봉세무서.성북시장,127.028719,37.619714
305,[1339 1531 1546 1574 3703 3714],9011,미아사거리역,127.029933,37.613762
306,[1369],8001,월곡뉴타운,127.028209,37.606906
307,[1318 1347 1348 1353 1367 1394],8003,길음뉴타운,127.024168,37.603626
308,[1353 1392 1393 1394],8005,미아리고개.미아리예술극장,127.021709,37.598811
309,[1336 1337 1368 1384 1385 1386],8007,돈암사거리.성신여대입구,127.018131,37.593743
310,[1302 1303 1306 1336 1343 1364 1388],8009,삼선교.한성대학교,127.009232,37.589853
311,[ 340  341  342  358  388 3419 3420 3421 3422],1228,혜화역.서울연극센터(장면총리가옥),127.001328,37.584023
312,[ 341  342  356  358 3419 3420 3421],1221,혜화역.서울대병원입구,127.00194,37.581064
313,[ 337  341  342  343  355  356  359 3402 3423],1222,방송통신대.이화장,127.001994,37.57813
314,[ 342  343  344  345  355  356  359 3402 3404 3423],1225,이화동(이화장),127.003271,37.575937
